id,schedule_id,bim360_account_id,bim360_project_id,unique_id,sequential_id,file_activity_id,parent_unique_id,type,name,is_critical_path,completion_percentage,planned_start,planned_finish,actual_start,actual_finish,start,finish,duration,actual_duration,remaining_duration,free_slack_units,free_slack_duration,total_slack_units,total_slack_duration,is_wbs,wbs_path,wbs_code,created_at,updated_at,wbs_path_text
fd9ee734-f711-413b-a013-80975dd74c07,7e19db82-c0a4-42a6-a316-110e8e4017c4,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,39,61,,26,ACTIVITY,Lumber Delivery,f,0,,,,,2008-09-01 08:00:00,2008-09-01 17:00:00,1,,1,DAYS,0,DAYS,1,f,[26],6.13,2024-03-07 00:57:15.378,2024-03-07 00:57:15.378,Foundation
1e8a364f-c2cc-427a-a054-01cdfd7f8d10,7e19db82-c0a4-42a6-a316-110e8e4017c4,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,38,62,,26,ACTIVITY,Waterproofing and Drain Tile,f,0,,,,,2008-09-02 08:00:00,2008-09-02 17:00:00,1,,1,DAYS,1,DAYS,1,f,[26],6.14,2024-03-07 00:57:15.378,2024-03-07 00:57:15.378,Foundation
5bcd5b28-734c-445b-834f-fa3831ada02b,7e19db82-c0a4-42a6-a316-110e8e4017c4,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,37,60,,26,ACTIVITY,"Set Lintels, Bolts, Cap Block",t,0,,,,,2008-09-02 08:00:00,2008-09-03 17:00:00,2,,2,DAYS,0,DAYS,0,f,[26],6.12,2024-03-07 00:57:15.378,2024-03-07 01:01:25.872,Foundation
172161db-6924-4e10-9774-77a461a74cad,7e19db82-c0a4-42a6-a316-110e8e4017c4,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,21,43,,20,ACTIVITY,Clear Lot,t,0,,,,,2008-07-23 08:00:00,2008-07-25 17:00:00,3,,3,DAYS,0,DAYS,0,f,[20],5.1,2024-03-07 00:57:15.378,2024-03-07 00:57:15.378,Site Work
daa3ae2d-8dff-40ec-bf8f-5f589c5273a4,7e19db82-c0a4-42a6-a316-110e8e4017c4,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,19,39,,9,ACTIVITY,Building Permit Approved,f,0,,,,,2008-07-24 08:00:00,2008-07-24 17:00:00,1,,1,DAYS,0,DAYS,3,f,[9],4.13,2024-03-07 00:57:15.378,2024-03-07 00:57:15.378,Grading & Building Permits
e05b9aab-c437-4950-84d8-7742ecd8fcf1,7e19db82-c0a4-42a6-a316-110e8e4017c4,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,290,8,,145,MILESTONE,Construction Loan Settlement,f,0,,,,,2008-06-01 08:00:00,2008-06-01 08:00:00,0,,0,DAYS,68,DAYS,68,f,[145],1.7,2024-03-07 00:57:15.378,2024-03-07 00:57:15.378,Contracts
a2c31c0d-92eb-4040-a78e-d13e9b53b9d5,7e19db82-c0a4-42a6-a316-110e8e4017c4,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,310,57,,26,MILESTONE,Draw #1 (Location Survey),f,0,,,,,2008-08-28 17:00:00,2008-08-28 17:00:00,0,,0,DAYS,4,DAYS,4,f,[26],6.9,2024-03-07 00:57:15.378,2024-03-07 00:57:15.378,Foundation
7f177c0f-7cb1-4243-9202-ee9cabfdf0da,7e19db82-c0a4-42a6-a316-110e8e4017c4,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,35,56,,26,MILESTONE,Foundation Certification,f,0,,,,,2008-08-28 17:00:00,2008-08-28 17:00:00,0,,0,DAYS,0,DAYS,4,f,[26],6.8,2024-03-07 00:57:15.378,2024-03-07 00:57:15.378,Foundation
be940c8f-4423-4bf3-af2e-f9660ff5609a,7e19db82-c0a4-42a6-a316-110e8e4017c4,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,14,33,,9,ACTIVITY,Walk Lot w/ Owner,t,0,,,,,2008-07-16 08:00:00,2008-07-16 17:00:00,1,,1,DAYS,0,DAYS,0,f,[9],4.7,2024-03-07 00:57:15.378,2024-03-07 00:57:15.378,Grading & Building Permits
e63262bc-c141-47fa-9996-28c70c036743,7e19db82-c0a4-42a6-a316-110e8e4017c4,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,7,22,,4,ACTIVITY,Review Bids,f,0,,,,,2008-07-25 08:00:00,2008-07-31 17:00:00,5,,5,DAYS,19,DAYS,19,t,[4],3.5,2024-03-07 00:57:15.378,2024-03-07 00:57:15.378,Bids & Contracts
