issue_id,bim360_account_id,bim360_project_id,display_id,title,description,type_id,subtype_id,status,assignee_id,assignee_type,due_date,location_id,location_details,linked_document_urn,owner_id,root_cause_id,root_cause_category_id,response,response_by,response_at,opened_by,opened_at,closed_by,closed_at,created_by,created_at,updated_by,updated_at,start_date,deleted_at,snapshot_urn,published,gps_coordinates,deleted_by
2f2fc5f8-3377-4b85-8c82-adb40de40c51,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,2,Coordination of Floor [1210630],"architect to resolve, penetrations incorrect",e2aaaa88-b9fe-4a12-866b-b06d8f1884d3,b8a0b3d0-65e6-48a4-a01d-cdcf599f45e2,open,,,2024-05-21 00:00:00,,,urn:adsk.wipprod:dm.lineage:pk3AjrdlSPe2Bit_SesxhQ,7VZ2Q8PTMR3E7H96,80a060d3-4647-4352-bd1d-ca93ff4985bc,369f1b01-8c1a-445f-a5f3-85b1adbb9a14,,,,7VZ2Q8PTMR3E7H96,2023-10-09 03:34:28.23,,,7VZ2Q8PTMR3E7H96,2023-10-09 03:34:28.33,7VZ2Q8PTMR3E7H96,2024-06-21 16:22:44.053,,,,t,,
25bb12e2-5b8d-457d-a503-f2bf097580ac,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,175,The wall is in the wrong direction,Wall orientation needs to be corrected,e2aaaa88-b9fe-4a12-866b-b06d8f1884d3,bf5738fa-e37c-4514-8c38-1c0024efabc1,open,,,,,,,7VZ2Q8PTMR3E7H96,,,,,,7VZ2Q8PTMR3E7H96,2026-01-12 06:54:58.341,,,7VZ2Q8PTMR3E7H96,2026-01-12 06:54:58.348,7VZ2Q8PTMR3E7H96,2026-01-12 06:54:58.348,,,,f,,
81b9960f-e333-4723-948c-9321f2a1b1ae,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,159,Narrow doors,test,65867d15-5007-4521-8aae-1adb40a24d2c,1d55bd6e-d814-465a-819b-d634b55a699b,open,,,,,,,BFN2XQU8NGGTJ4SQ,,,,,,BFN2XQU8NGGTJ4SQ,2025-07-29 07:50:22.597,,,BFN2XQU8NGGTJ4SQ,2025-07-29 07:50:22.603,BFN2XQU8NGGTJ4SQ,2025-07-29 07:50:22.603,,,,t,,
70c6c25a-4e78-4bed-a64a-00eab9dd52c5,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,170,Elevators not labeled,,e2aaaa88-b9fe-4a12-866b-b06d8f1884d3,bf5738fa-e37c-4514-8c38-1c0024efabc1,open,,,,,,urn:adsk.wipprod:dm.lineage:LU5NESTSS6-g0HgwpmarBA,7VZ2Q8PTMR3E7H96,,,,,,7VZ2Q8PTMR3E7H96,2025-12-31 09:06:13.275,,,7VZ2Q8PTMR3E7H96,2025-12-31 09:06:13.281,7VZ2Q8PTMR3E7H96,2025-12-31 09:09:30.495,,2025-12-31 09:09:30.489,urn:adsk.objects:os.object:ng-issues-prod-af8b83a7-47eb-4049-9275-c86b659a4b79/54ef94c5-4ba0-44cd-a5cd-ac22e81c4023,t,,7VZ2Q8PTMR3E7H96
a5422672-3995-4ff1-a207-6d8eff0d3efe,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,171,Clash,,e2aaaa88-b9fe-4a12-866b-b06d8f1884d3,bf5738fa-e37c-4514-8c38-1c0024efabc1,open,,,,,,urn:adsk.wipprod:dm.lineage:LU5NESTSS6-g0HgwpmarBA,7VZ2Q8PTMR3E7H96,,,,,,7VZ2Q8PTMR3E7H96,2025-12-31 09:12:58.182,,,7VZ2Q8PTMR3E7H96,2025-12-31 09:12:58.189,7VZ2Q8PTMR3E7H96,2025-12-31 09:13:07.845,,2025-12-31 09:13:07.838,urn:adsk.objects:os.object:ng-issues-prod-af8b83a7-47eb-4049-9275-c86b659a4b79/a4e58d88-ddcf-4374-8ff9-37ffdcc9c8e4,t,,7VZ2Q8PTMR3E7H96
8fa78ee8-fea6-4ad5-a6cd-f1b4496c3a1a,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,172,Cracked Tiles in Bathroom 4A - Replacement Required,"RFI #5: Tiles in bathroom 4a are cracked. Need to determine how to replace these without damaging the waterproofing.

Suggested approach: To replace the cracked tiles without damaging the waterproofing, follow these steps: 1. Carefully remove the grout around the cracked tiles using a grout saw or rotary tool. 2. Gently lift the cracked tiles using a chisel and hammer, taking care not to damage the underlying waterproofing membrane. 3. Clean the substrate and apply new waterproofing if necessary. 4. Install replacement tiles with appropriate adhesive and grout.",9a4442a6-afe0-441a-a347-d3f57ef230d6,6f698fc6-17a6-44eb-9204-9f90fbff98d5,open,,,,72b3f5fa-559b-465b-8578-df4126bd7049,Bathroom 4A,,7VZ2Q8PTMR3E7H96,,,,,,7VZ2Q8PTMR3E7H96,2026-01-03 00:47:09.292,,,7VZ2Q8PTMR3E7H96,2026-01-03 00:47:09.3,7VZ2Q8PTMR3E7H96,2026-01-03 00:49:44.018,,2026-01-03 00:49:44.011,,t,,7VZ2Q8PTMR3E7H96
a18f030d-ebef-48c7-9d69-132ca96af2ff,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,173,Cracked Tiles - How to Replace,Tiles in bathroom 4a are cracked. How can we replace these without damaging the waterproofing.,9a4442a6-afe0-441a-a347-d3f57ef230d6,6f698fc6-17a6-44eb-9204-9f90fbff98d5,open,,,2026-01-17 00:00:00,72b3f5fa-559b-465b-8578-df4126bd7049,,,7VZ2Q8PTMR3E7H96,,,,,,7VZ2Q8PTMR3E7H96,2026-01-03 00:51:13.726,,,7VZ2Q8PTMR3E7H96,2026-01-03 00:51:13.731,7VZ2Q8PTMR3E7H96,2026-01-03 00:52:23.022,,2026-01-03 00:52:23.015,,t,,7VZ2Q8PTMR3E7H96
d774f63b-c86b-4edc-860c-da36bdde9b7a,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,174,Cracked Tiles - How to Replace,"Tiles in bathroom 4a are cracked. How can we replace these without damaging the waterproofing. To replace the cracked tiles in bathroom 4a without damaging the waterproofing, follow these steps: 1. Carefully remove the grout around the cracked tiles using a grout saw or rotary tool. 2. Gently lift the cracked tiles using a chisel and hammer, taking care not to damage the underlying waterproofing membrane. 3. Clean the substrate and apply a new waterproofing membrane if necessary. 4. Install new tiles using an appropriate adhesive and grout.",9a4442a6-afe0-441a-a347-d3f57ef230d6,6f698fc6-17a6-44eb-9204-9f90fbff98d5,open,,,2026-01-17 00:00:00,72b3f5fa-559b-465b-8578-df4126bd7049,,,7VZ2Q8PTMR3E7H96,,,,,,7VZ2Q8PTMR3E7H96,2026-01-03 12:39:22.833,,,7VZ2Q8PTMR3E7H96,2026-01-03 12:39:22.853,7VZ2Q8PTMR3E7H96,2026-01-03 12:39:22.853,,,,t,,
a7656ea1-15f8-4221-8faf-212983ba12ea,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,165,Basic Wall [493612] and Surface [411452],1 clash between Basic Wall [493612] in rst_basic_sample_project.rvt - {3D} and rac_basic_sample_project.rvt - {3D},e2aaaa88-b9fe-4a12-866b-b06d8f1884d3,bf5738fa-e37c-4514-8c38-1c0024efabc1,open,,,,,,urn:adsk.wipprod:dm.lineage:3Bf9b7qmRuCxkzZZvzZoqA,7VZ2Q8PTMR3E7H96,,,,,,7VZ2Q8PTMR3E7H96,2025-10-09 05:06:47.437,,,7VZ2Q8PTMR3E7H96,2025-10-09 05:06:47.444,7VZ2Q8PTMR3E7H96,2025-10-09 05:06:57.357,,,urn:adsk.objects:os.object:wip.dm.prod/1526517d-adca-4885-b7b4-9db960054bf2.jpg,t,,
cca83bda-7bc1-453f-b52d-751ff029fe3c,60844ec8-1755-47a1-a106-1cc9a6c26e18,af8b83a7-47eb-4049-9275-c86b659a4b79,167,Punch List,,517e6b06-5d6d-46fa-9d9f-a8573354365e,26bd6d72-6205-4662-b353-ddfe896a28ef,open,,,,,,,7VZ2Q8PTMR3E7H96,,,,,,7VZ2Q8PTMR3E7H96,2025-12-14 03:35:10.089,,,7VZ2Q8PTMR3E7H96,2025-12-14 03:35:10.097,7VZ2Q8PTMR3E7H96,2025-12-14 03:35:10.097,,,,t,,
